中央卫视频道,#genre#
CCTV10,http://110.181.235.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信7
CCTV10,http://110.181.234.38:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信2
CCTV10,http://110.181.237.186:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信13
CCTV10,http://110.181.235.27:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信4
CCTV10,http://110.181.236.164:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信9
CCTV10,http://110.181.234.85:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信8
CCTV10,http://1.193.60.239:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$郑州电信
CCTV10,http://218.17.33.178:53290/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$深圳电信1
CCTV10,http://110.181.232.202:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信11
CCTV11,http://1.193.60.239:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$郑州电信
CCTV11,http://110.181.239.77:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信
CCTV11,http://110.181.238.30:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信10
CCTV11,http://110.181.234.85:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信8
CCTV11,http://110.181.236.30:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信3
CCTV11,http://110.181.235.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信7
CCTV11,http://110.181.237.186:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信13
CCTV11,http://110.181.237.202:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信1
CCTV11,http://110.181.239.201:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信5
CCTV11,http://110.181.235.27:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信4
CCTV11,http://110.181.232.202:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信11
CCTV11,http://110.181.234.38:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信2
CCTV11,http://110.181.236.164:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信9
CCTV11,http://110.181.238.190:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信6
CCTV11,http://110.181.232.172:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信12
CCTV12,http://110.181.232.202:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信11
CCTV12,http://1.193.60.239:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$郑州电信
CCTV12,http://110.181.235.27:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信4
CCTV12,http://110.181.239.77:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信
CCTV12,http://110.181.238.30:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信10
CCTV12,http://110.181.237.202:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信1
CCTV12,http://110.181.235.83:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信7
CCTV12,http://110.181.239.201:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信5
CCTV12,http://110.181.232.172:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信12
CCTV12,http://110.181.236.30:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信3
CCTV12,http://218.17.33.178:53290/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$深圳电信1
CCTV12,http://110.181.236.164:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信9
CCTV12,http://110.181.234.85:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信8
CCTV12,http://110.181.237.186:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信13
CCTV12,http://110.181.234.38:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信2
CCTV13,http://110.181.232.202:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信11
CCTV13,http://1.193.60.239:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$郑州电信
CCTV13,http://110.181.239.201:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信5
CCTV13,http://110.181.237.202:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信1
CCTV13,http://110.181.235.83:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信7
CCTV13,http://110.181.234.38:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信2
CCTV13,http://110.181.232.172:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信12
CCTV13,http://110.181.236.164:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信9
CCTV13,http://110.181.236.30:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信3
CCTV13,http://110.181.235.27:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信4
CCTV13,http://110.181.237.186:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信13
CCTV13,http://110.181.238.30:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信10
CCTV13,http://110.181.234.85:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信8
CCTV13,http://110.181.239.77:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信
CCTV13,http://110.181.238.190:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信6
CCTV14,http://110.181.237.186:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信13
CCTV14,http://1.193.60.239:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$郑州电信
CCTV14,http://110.181.238.190:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信6
CCTV14,http://110.181.232.172:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信12
CCTV14,http://110.181.234.85:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信8
CCTV14,http://110.181.232.202:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信11
CCTV14,http://110.181.235.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信7
CCTV14,http://110.181.236.164:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信9
CCTV14,http://110.181.239.201:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信5
CCTV14,http://110.181.239.77:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信
CCTV14,http://110.181.237.202:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信1
CCTV14,http://110.181.234.38:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信2
CCTV14,http://110.181.236.30:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信3
CCTV14,http://110.181.238.30:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信10
CCTV14,http://110.181.235.27:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信4
CCTV15,http://1.193.60.239:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$郑州电信
CCTV15,http://114.244.240.166:4022/rtp/239.3.1.153:8136$北京sxup
CCTV15,http://171.213.205.11:4022/rtp/239.93.0.103:5140$四川cphp4
CCTV15,http://171.213.193.108:8022/rtp/239.93.0.103:5140$四川cphp42
CCTV15,http://118.113.42.180:3456/rtp/239.93.0.103:5140$四川sxcp
CCTV15,http://121.60.56.116:10001/rtp/239.69.1.155:10566$湖北sxcp
CCTV15,http://171.213.245.105:4022/rtp/239.93.0.103:5140$四川cphp36
CCTV15,http://171.213.129.79:3333/rtp/239.93.0.103:5140$四川cphp27
CCTV15,http://171.213.165.166:1880/rtp/239.93.0.103:5140$四川cphp35
CCTV15,http://171.213.203.127:11111/rtp/239.93.0.103:5140$四川cphp1
CCTV15,http://171.213.202.158:8022/rtp/239.93.0.103:5140$四川cphp39
CCTV15,http://123.116.125.121:8012/rtp/239.3.1.153:8136$北京sxup
CCTV16,http://122.189.103.26:8888/rtp/228.0.0.249:6108$湖北sxup
CCTV16,http://58.48.104.196:4022/rtp/239.69.1.247:11124$湖北sxcp
CCTV16,http://114.244.240.166:4022/rtp/239.3.1.184:8001$北京sxup
CCTV16,http://222.129.32.255:4022/rtp/239.3.1.184:8001$北京uip1
CCTV16,http://61.149.251.202:4022/rtp/239.3.1.184:8001$北京sxup
CCTV16,http://121.60.56.116:10001/rtp/239.69.1.247:11124$湖北sxcp
CCTV16,http://123.116.125.121:8012/rtp/239.3.1.184:8001$北京sxup
CCTV16,http://113.83.248.144:4200/rtp/239.77.0.165:5146$广东cphp6
CCTV16,http://121.34.150.149:8225/rtp/239.77.0.165:5146$广东sxcp
CCTV17,http://218.17.33.178:53290/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0$深圳电信1
CCTV17,http://171.213.222.124:4022/rtp/239.93.0.92:5140$四川cphp37
CCTV17,http://61.149.251.202:4022/rtp/239.3.1.151:8144$北京sxup
CCTV17,http://171.213.210.56:8188/rtp/239.93.0.92:5140$四川cip1
CCTV17,http://58.48.104.196:4022/rtp/239.69.1.152:10548$湖北sxcp
CCTV17,http://171.213.165.166:1880/rtp/239.93.0.92:5140$四川cphp35
CCTV17,http://171.213.205.11:4022/rtp/239.93.0.92:5140$四川cphp4
CCTV17,http://171.213.202.158:8022/rtp/239.93.0.92:5140$四川cphp39
CCTV17,http://171.213.164.202:6666/rtp/239.93.0.92:5140$四川cphp12
CCTV17,http://222.129.32.255:4022/rtp/239.3.1.151:8144$北京uip1
CCTV17,http://123.116.125.121:8012/rtp/239.3.1.151:8144$北京sxup
