辽宁电信 4K,#genre#
沈阳新闻综合,http://10.255.129.26:6060/ZTE_EPG16/2/9123?virtualDomain=ZTE_EPG16.live_hls.zte.com
铁岭新闻,http://10.255.129.26:6060/ZTE_EPG16/2/9137?virtualDomain=ZTE_EPG16.live_hls.zte.com
铁岭生活,http://10.255.129.26:6060/ZTE_EPG16/2/9138?virtualDomain=ZTE_EPG16.live_hls.zte.com
阜新新闻综合,http://10.255.129.26:6060/ZTE_EPG16/2/9344?virtualDomain=ZTE_EPG16.live_hls.zte.com
阜新教育,http://10.255.129.26:6060/ZTE_EPG16/2/9343?virtualDomain=ZTE_EPG16.live_hls.zte.com
葫芦岛新闻综合,http://10.255.129.26:6060/ZTE_EPG16/2/9140?virtualDomain=ZTE_EPG16.live_hls.zte.com
葫芦岛生活服务,http://10.255.129.26:6060/ZTE_EPG16/2/9141?virtualDomain=ZTE_EPG16.live_hls.zte.com


卫视频道(备用),#genre#
北京卫视,http://10.255.129.26:6060/ZTE_EPG16/2/9220?virtualDomain=ZTE_EPG16.live_hls.zte.com
天津卫视,http://10.255.129.26:6060/ZTE_EPG16/2/9221?virtualDomain=ZTE_EPG16.live_hls.zte.com
东方卫视,http://10.255.129.26:6060/ZTE_EPG16/2/9223?virtualDomain=ZTE_EPG16.live_hls.zte.com
